ENSEMBL ID,HGNC Symbol,WGCNA module color,WGCNA Module Label
ENSG00000121297,TSHZ3,yellow,25
ENSG00000121310,ECHDC2,grey,11
ENSG00000121314,TAS2R8,grey,11
ENSG00000121316,PLBD1,grey,11
ENSG00000121335,PRB2,turquoise,24
ENSG00000121350,PYROXD1,blue,2
ENSG00000121361,KCNJ8,grey,11
ENSG00000121380,BCL2L14,turquoise,24
ENSG00000121381,TAS2R9,grey,11
ENSG00000121390,PSPC1,grey,11
ENSG00000121406,ZNF549,grey,11
ENSG00000121410,A1BG,turquoise,24
ENSG00000121413,ZSCAN18,grey,11
ENSG00000121417,ZNF211,grey,11
ENSG00000121440,PDZRN3,grey,11
ENSG00000121446,RGSL1,turquoise,24
ENSG00000121454,LHX4,turquoise,24
ENSG00000121481,RNF2,yellow,25
ENSG00000121486,TRMT1L,grey,11
ENSG00000121542,SEC22A,grey,11
ENSG00000121577,POPDC2,grey,11
ENSG00000121578,B4GALT4,grey,11
ENSG00000121579,NAA50,grey,11
ENSG00000121644,DESI2,royalblue,21
ENSG00000121653,MAPK8IP1,yellow,25
ENSG00000121671,CRY2,grey60,12
ENSG00000121680,PEX16,brown,3
ENSG00000121690,DEPDC7,blue,2
ENSG00000121691,CAT,green,9
ENSG00000121716,PILRB,grey,11
ENSG00000121741,ZMYM2,brown,3
ENSG00000121742,GJB6,green,9
ENSG00000121749,TBC1D15,turquoise,24
ENSG00000121753,BAI2,yellow,25
ENSG00000121766,ZCCHC17,grey60,12
ENSG00000121769,FABP3,brown,3
ENSG00000121774,KHDRBS1,grey,11
ENSG00000121775,TMEM39B,salmon,22
ENSG00000121848,RNF115,grey,11
ENSG00000121851,POLR3GL,red,20
ENSG00000121858,TNFSF10,grey,11
ENSG00000121864,ZNF639,darkgreen,5
ENSG00000121871,SLITRK3,midnightblue,17
ENSG00000121879,PIK3CA,grey,11
ENSG00000121892,PDS5A,grey,11
ENSG00000121897,LIAS,blue,2
ENSG00000121898,CPXM2,grey,11
ENSG00000121900,TMEM54,grey,11
ENSG00000121903,ZSCAN20,blue,2
ENSG00000121904,CSMD2,salmon,22
ENSG00000121905,HPCA,yellow,25
ENSG00000121931,LRIF1,grey,11
ENSG00000121933,ADORA3,pink,18
ENSG00000121964,GTDC1,cyan,4
ENSG00000121966,CXCR4,green,9
ENSG00000121988,ZRANB3,grey,11
ENSG00000121989,ACVR2A,yellow,25
ENSG00000122008,POLK,blue,2
ENSG00000122012,SV2C,grey,11
ENSG00000122025,FLT3,grey,11
ENSG00000122026,RPL21,grey,11
ENSG00000122033,MTIF3,grey,11
ENSG00000169490,TM2D2,brown,3
ENSG00000122035,RASL11A,red,20
ENSG00000122042,UBL3,grey,11
ENSG00000122068,FYTTD1,grey60,12
ENSG00000122085,MTERFD2,grey,11
ENSG00000122122,SASH3,pink,18
ENSG00000122126,OCRL,cyan,4
ENSG00000122140,MRPS2,grey,11
ENSG00000122176,FMOD,grey,11
ENSG00000122194,PLG,salmon,22
ENSG00000122203,KIAA1191,brown,3
ENSG00000122218,COPA,black,1
ENSG00000122254,HS3ST2,grey,11
ENSG00000122257,RBBP6,turquoise,24
ENSG00000122299,ZC3H7A,grey,11
ENSG00000122335,SERAC1,grey,11
ENSG00000122359,ANXA11,grey,11
ENSG00000122367,LDB3,blue,2
ENSG00000122376,FAM35A,grey,11
ENSG00000122378,FAM213A,black,1
ENSG00000122406,RPL5,grey,11
ENSG00000122417,ODF2L,turquoise,24
ENSG00000122420,PTGFR,grey,11
ENSG00000122432,SPATA1,tan,23
ENSG00000122435,TRMT13,blue,2
ENSG00000122477,LRRC39,grey,11
ENSG00000122482,ZNF644,blue,2
ENSG00000122483,CCDC18,tan,23
ENSG00000122484,RPAP2,grey,11
ENSG00000122490,PQLC1,brown,3
ENSG00000122497,NBPF14,grey,11
ENSG00000122507,BBS9,blue,2
ENSG00000122512,PMS2,cyan,4
ENSG00000122515,ZMIZ2,turquoise,24
ENSG00000122545,SEPT7,blue,2
ENSG00000122547,EEPD1,blue,2
ENSG00000122548,KIAA0087,grey,11
ENSG00000122550,KLHL7,grey,11
ENSG00000122557,HERPUD2,grey,11
ENSG00000122565,CBX3,grey60,12
ENSG00000122566,HNRNPA2B1,turquoise,24
ENSG00000122574,WIPF3,black,1
ENSG00000122584,NXPH1,grey60,12
ENSG00000122585,NPY,grey,11
ENSG00000122591,FAM126A,blue,2
ENSG00000122643,NT5C3A,red,20
ENSG00000122644,ARL4A,grey,11
ENSG00000122674,CCZ1,turquoise,24
ENSG00000122678,POLM,turquoise,24
ENSG00000122679,RAMP3,grey,11
ENSG00000122687,FTSJ2,brown,3
ENSG00000122691,TWIST1,grey,11
ENSG00000122692,SMU1,brown,3
ENSG00000122694,GLIPR2,blue,2
ENSG00000172638,EFEMP2,green,9
ENSG00000122707,RECK,grey,11
ENSG00000122729,ACO1,green,9
ENSG00000122733,KIAA1045,yellow,25
ENSG00000122735,DNAI1,turquoise,24
ENSG00000122756,CNTFR,lightgreen,14
ENSG00000122778,KIAA1549,yellow,25
ENSG00000122779,TRIM24,grey,11
ENSG00000122783,C7orf49,blue,2
ENSG00000122786,CALD1,purple,19
ENSG00000122824,NUDT10,grey,11
ENSG00000122862,SRGN,purple,19
ENSG00000122863,CHST3,lightyellow,15
ENSG00000122870,BICC1,red,20
ENSG00000122873,CISD1,magenta,16
ENSG00000122877,EGR2,yellow,25
ENSG00000122882,ECD,grey,11
ENSG00000122884,P4HA1,green,9
ENSG00000180992,MRPL14,brown,3
ENSG00000122952,ZWINT,grey,11
ENSG00000122958,VPS26A,cyan,4
ENSG00000122965,RBM19,turquoise,24
ENSG00000122966,CIT,black,1
ENSG00000122970,IFT81,grey,11
ENSG00000122971,ACADS,green,9
ENSG00000122986,HVCN1,green,9
ENSG00000123064,DDX54,grey,11
ENSG00000123066,MED13L,grey,11
ENSG00000123080,CDKN2C,lightyellow,15
ENSG00000123091,RNF11,yellow,25
ENSG00000123094,RASSF8,green,9
ENSG00000123095,BHLHE41,blue,2
ENSG00000123096,SSPN,green,9
ENSG00000123104,ITPR2,green,9
ENSG00000123106,CCDC91,grey,11
ENSG00000182901,RGS7,midnightblue,17
ENSG00000123124,WWP1,turquoise,24
ENSG00000123130,ACOT9,grey,11
ENSG00000123131,PRDX4,blue,2
ENSG00000123136,DDX39A,blue,2
ENSG00000183023,SLC8A1,greenyellow,10
ENSG00000123144,C19orf43,brown,3
ENSG00000123146,CD97,blue,2
ENSG00000123154,WDR83,grey,11
ENSG00000123159,GIPC1,black,1
ENSG00000123178,SPRYD7,cyan,4
ENSG00000123179,EBPL,grey,11
ENSG00000123191,ATP7B,grey,11
ENSG00000186416,NKRF,cyan,4
ENSG00000123201,GUCY1B2,turquoise,24
ENSG00000123213,NLN,magenta,16
ENSG00000123219,CENPK,grey,11
ENSG00000196305,IARS,brown,3
ENSG00000123243,ITIH5,grey,11
ENSG00000123268,ATF1,grey,11
ENSG00000198668,CALM1,yellow,25
ENSG00000123329,ARHGAP9,black,1
ENSG00000123338,NCKAP1L,pink,18
ENSG00000123342,MMP19,tan,23
ENSG00000123349,PFDN5,grey,11
ENSG00000123352,SPATS2,yellow,25
ENSG00000123358,NR4A1,yellow,25
ENSG00000123360,PDE1B,greenyellow,10
ENSG00000123384,LRP1,lightgreen,14
ENSG00000123395,C12orf44,grey,11
ENSG00000123411,IKZF4,turquoise,24
ENSG00000123415,SMUG1,brown,3
ENSG00000123453,SARDH,lightgreen,14
ENSG00000123454,DBH,turquoise,24
ENSG00000123472,ATPAF1,greenyellow,10
ENSG00000123473,STIL,grey,11
ENSG00000123496,IL13RA2,yellow,25
ENSG00000123505,AMD1,blue,2
ENSG00000203875,SNHG5,tan,23
ENSG00000123552,USP45,darkturquoise,8
ENSG00000123560,PLP1,blue,2
ENSG00000123562,MORF4L2,grey,11
ENSG00000123570,RAB9B,greenyellow,10
ENSG00000123575,FAM199X,grey,11
ENSG00000123595,RAB9A,blue,2
ENSG00000123600,METTL8,grey,11
ENSG00000123607,TTC21B,black,1
ENSG00000123609,NMI,purple,19
ENSG00000123612,ACVR1C,grey,11
ENSG00000123636,BAZ2B,blue,2
ENSG00000203952,CCDC160,blue,2
ENSG00000123684,LPGAT1,brown,3
ENSG00000123685,BATF3,salmon,22
ENSG00000123700,KCNJ2,blue,2
ENSG00000123728,RAP2C,grey,11
ENSG00000123737,EXOSC9,turquoise,24
ENSG00000123739,PLA2G12A,grey,11
ENSG00000123815,ADCK4,grey,11
ENSG00000123836,PFKFB2,grey,11
ENSG00000123870,ZNF137P,turquoise,24
ENSG00000123901,GPR83,grey,11
ENSG00000123908,AGO2,turquoise,24
ENSG00000123933,MXD4,grey,11
ENSG00000123965,PMS2P5,turquoise,24
ENSG00000123975,CKS2,grey,11
ENSG00000123977,DAW1,lightcyan,13
ENSG00000123983,ACSL3,brown,3
ENSG00000123989,CHPF,salmon,22
ENSG00000123992,DNPEP,salmon,22
ENSG00000123999,INHA,grey,11
ENSG00000124006,OBSL1,grey,11
ENSG00000124019,FAM124B,pink,18
ENSG00000124067,SLC12A4,green,9
ENSG00000124074,ENKD1,grey,11
ENSG00000124098,FAM210B,grey,11
ENSG00000124104,SNX21,grey,11
ENSG00000124120,TTPAL,yellow,25
ENSG00000124126,PREX1,blue,2
ENSG00000124134,KCNS1,black,1
ENSG00000124140,SLC12A5,magenta,16
ENSG00000124145,SDC4,green,9
ENSG00000124151,NCOA3,red,20
ENSG00000124155,PIGT,blue,2
ENSG00000124160,NCOA5,grey,11
ENSG00000124164,VAPB,greenyellow,10
ENSG00000124171,PARD6B,grey,11
ENSG00000124172,ATP5E,grey,11
ENSG00000124177,CHD6,black,1
ENSG00000124181,PLCG1,lightgreen,14
ENSG00000124191,TOX2,cyan,4
ENSG00000124193,SRSF6,grey,11
ENSG00000124194,GDAP1L1,grey,11
ENSG00000124198,ARFGEF2,greenyellow,10
ENSG00000124201,ZNFX1,grey,11
ENSG00000124203,ZNF831,grey,11
ENSG00000124205,EDN3,grey,11
ENSG00000124207,CSE1L,grey,11
ENSG00000124209,RAB22A,magenta,16
ENSG00000124212,PTGIS,yellow,25
ENSG00000124214,STAU1,grey,11
